PNODE_ID,AS_ID,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long
BARRETT_6_N001,AS_SP26,LOAD,BARRET_6_LD31,22040_BARRETT _69.0_LD1,22M7_DB114,2022-07-28 0:00:00,211,32.66715153,-116.7002197
BATIQTOS_1_N001,AS_SP26,LOAD,BQUTOS_1_LD41,22048_BATIQTOS_138_LD41,22M7_DB114,2022-07-28 0:00:00,379,33.10131378,-117.2503983
BATIQTOS_1_N001,AS_SP15,LOAD,BQUTOS_1_LD41,22048_BATIQTOS_138_LD41,22M7_DB114,2022-07-28 0:00:00,379,33.10131378,-117.2503983
BATIQTOS_1_N008,AS_SP15,LOAD,BQUTOS_1_LD43,22048_BATIQTOS_138_LD43,22M7_DB114,2022-07-28 0:00:00,381,33.10108203,-117.2501996
BATIQTOS_1_N008,AS_SP26,LOAD,BQUTOS_1_LD43,22048_BATIQTOS_138_LD43,22M7_DB114,2022-07-28 0:00:00,381,33.10108203,-117.2501996
BATIQTOS_1_N015,AS_SP15,LOAD,BQUTOS_1_LD42,22048_BATIQTOS_138_LD42,22M7_DB114,2022-07-28 0:00:00,380,33.10107759,-117.2507205
BATIQTOS_1_N015,AS_SP26,LOAD,BQUTOS_1_LD42,22048_BATIQTOS_138_LD42,22M7_DB114,2022-07-28 0:00:00,380,33.10107759,-117.2507205
BDLRKSP1_7_B1,AS_SP26,GEN,LARKSP_6_UNIT 1,22074_BDLRKSP1_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,2042,32.567447,-116.942233
BDLRKSP1_7_B1,AS_SP15,GEN,LARKSP_6_UNIT 1,22074_BDLRKSP1_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,2042,32.567447,-116.942233
BDLRKSP2_7_B1,AS_SP26,GEN,LARKSP_6_UNIT 2,22075_BDLRKSP2_13.8_GU2,22M7_DB114,2022-07-28 0:00:00,2043,32.56745,-116.942317
BDLRKSP2_7_B1,AS_SP15,GEN,LARKSP_6_UNIT 2,22075_BDLRKSP2_13.8_GU2,22M7_DB114,2022-07-28 0:00:00,2043,32.56745,-116.942317
BERNARDO_6_N001,AS_SP26,LOAD,BENRDO_6_LD31,22056_BERNARDO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,257,33.02149182,-117.0960007
BERNARDO_6_N001,AS_SP15,LOAD,BENRDO_6_LD31,22056_BERNARDO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,257,33.02149182,-117.0960007
BERNARDO_6_N002,AS_SP26,LOAD,BENRDO_6_LD34,22056_BERNARDO_69.0_LD34,22M7_DB114,2022-07-28 0:00:00,260,33.02121358,-117.0963061
BERNARDO_6_N002,AS_SP15,LOAD,BENRDO_6_LD34,22056_BERNARDO_69.0_LD34,22M7_DB114,2022-07-28 0:00:00,260,33.02121358,-117.0963061
BERNARDO_6_N009,AS_SP15,LOAD,BENRDO_6_LD33,22056_BERNARDO_69.0_LD33,22M7_DB114,2022-07-28 0:00:00,259,33.02150013,-117.0967119
BERNARDO_6_N009,AS_SP26,LOAD,BENRDO_6_LD33,22056_BERNARDO_69.0_LD33,22M7_DB114,2022-07-28 0:00:00,259,33.02150013,-117.0967119
BERNARDO_6_N013,AS_SP26,LOAD,BENRDO_6_LD32,22056_BERNARDO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,258,33.02145283,-117.0963228
BERNARDO_6_N013,AS_SP15,LOAD,BENRDO_6_LD32,22056_BERNARDO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,258,33.02145283,-117.0963228
BERNARDO_6_N014,AS_SP15,LOAD,BENRDO_6_LD30,22056_BERNARDO_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,256,33.02170605,-117.0962795
